lp,kto,ord,kompozytor,dyrygent,orkiestra,soliści,co,data nagrania,data wydania,wytwórnia,część,uwagi,typ,genre,medium
1313,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,Otto Klemperer,Philharmonia Choir & Orchestra,Pears/Fischer-Diskau/Schwarzkopf/Ludwig,St. Matthew Passion,1962,2001,EMI,3,,klasyka,classics,CD
1314,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,Nikolaus Harnoncourt,,,St. Matthew Passion,,2001,Teldec,1,rolf,klasyka,classics,CD
1315,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,Nikolaus Harnoncourt,,,St. Matthew Passion,,2001,Teldec,2,rolf,klasyka,classics,CD
1316,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,Nikolaus Harnoncourt,,,St. Matthew Passion,,2001,Teldec,3,rolf,klasyka,classics,CD
1317,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Martha Argerich,"Toccata BWV 911, Partita BWV 826, Englische Suite No. 2 BWV 807",1980,2000,Polydor,,,klasyka,classics,CD
1318,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Trevor Pinnock,Goldberg-Variationen BWV 988,,1980,Polydor,,,klasyka,classics,CD
1319,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Yehudi Menuhin,Sonatas & Partitias for violin solo BWV 1001-1006,1957,1993,EMI,1,,klasyka,classics,CD
1320,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Yehudi Menuhin,Sonatas & Partitias for violin solo BWV 1001-1006,1957,1993,EMI,2,,klasyka,classics,CD
1321,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Mischa Maisky,6 cello-suites BWV 1007-1012,,1985,DG-Polydor,1,,klasyka,classics,CD
1322,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Mischa Maisky,6 cello-suites BWV 1007-1012,,1985,DG-Polydor,2,,klasyka,classics,CD
1323,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Robert Cohen,Cello Suites vol.1,,1990.93,Lambourne Productions,,,klasyka,classics,CD
1324,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,Orchestra of the Age of Enlightenment,,The Brandenburg Concertos,,1989,Virgin,1,,klasyka,classics,CD
1325,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,Orchestra of the Age of Enlightenment,,The Brandenburg Concertos,,1989,Virgin,2,,klasyka,classics,CD
1326,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Karl Richter,"Branderburgische Konzerte 2,5, Ouverture 2; BWV 1047,1050,1067",,1963.68,DG-Polydor,1,,klasyka,classics,CD
1327,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Karl Richter,"Ouverture 1, Branderburgische Konzerte 3, Ouverture 3; BWV 1066,1048,1068",,1963.68,DG-Polydor,2,,klasyka,classics,CD
1328,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,Academy of St. Martin in the Fields,Murray Perahia,"Keyboard Concertos Nos. 1 d-moll BWV 1052,2 E-dur BWV 1053 & 4 A-dur BWV 1055",,2001,SONY,,,klasyka,classics,CD
1329,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,Academy of St. Martin in the Fields,Murray Perahia,"Keyboard Concertos Nos. 3, 5, 6, 7",,2002,SONY,,,klasyka,classics,CD
1330,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Glenn Gould,"The Art of Fugue BWV 1080, Prelude and Fugue BWV 898",1967.83,1997,SONY,,,klasyka,classics,CD
1331,various,Baroque Masterpieces,"Pachelbel, Albinoni, Bach",,,,Baroque Masterpieces,,1997,SONY,,rolf,klasyka,classics,CD
1332,Bela Bartok,Bartok Bela,Bela Bartok,Sir Georg Solti,,Murray Perahia,"Sonata For Two Pianos & Precussion (+Brahms – Variations On A Theme By Joseph Haydn, Op. 56b)",,1987,CBS,,,klasyka,classics,CD
1333,Bela Bartok,Bartok Bela,Bela Bartok,,,"Zoltan Kocsis, Dezso Ranki","Sonata For Two Pianos & Percussion Sz.110, Two Pictures Op.10, Sz.46, Preludio & Scherzo Op.12, Sz.51",1981,1984,Hungaroton,,,klasyka,classics,CD
1334,Bela Bartok,Bartok Bela,Bela Bartok,,Boston Symphony Orchestra,Sergey Koussevitzky,Bartok - Concerto for Orchestra / Mussorgsky (Ravel) - Pictures at an Exhibition,1943,2000,NAXOS,,,klasyka,classics,CD
1335,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,,,Casadesus,"Piano Sonatas (14,26,24,23,Op.27,81a,78,57)",1953.58,1990,CBS - SONY,,,klasyka,classics,CD
1336,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,,,Marcin Masecki,ostatnie sonaty fortepianowe,2015,2015,Lado ABC,,,klasyka,classics,CD
1337,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Krystian Zimerman,Wiener Philharmoniker,Krystian Zimerman,"Piano Concertos (1,2,Op.15,19)",,1992,DG,1,,klasyka,classics,CD
1338,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Leonard Bernstein,Wiener Philharmoniker,Krystian Zimerman,"Piano Concertos (3,4,Op.37,58)",,1992,DG,2,,klasyka,classics,CD
1339,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Leonard Bernstein,Wiener Philharmoniker,Krystian Zimerman,"Piano Concertos (5,Op.73)",,1992,DG,3,,klasyka,classics,CD
1340,Ludwig van Beethoven,Beethoven Ludwig van,Beethoven & Mendelssohn,Wilhelm Furtwangler,,Yehudi Menuhin,"Violin Concertos (B-Op.61,M-Op.64)",1954.84,1999,EMI,,,klasyka,classics,CD
1341,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Herbert von Karajan,Berliner Philharmoniker,,"Symphonie No.3 Es-dur, op.55 “Eroica”",,1986,DG-Polydor,,,klasyka,classics,CD
1342,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Jordi Savall,Le Concert des Nations,,"Sinfonia ""Eroica” No.3 Es-dur, op.55",,2000,Naive,,,klasyka,classics,CD
1343,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Herbert von Karajan,Berliner Philharmoniker,,"VII Symfonia A-dur op.92, V Symfonia c-moll op.67",,,Selles z płyty Polygram,,,klasyka,classics,CD
1344,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Fritz Reiner,Chicago Symphony Orchestra,,"Symphony No.6 in Fm Op.68 ""Pastoral""",1961,2002,Victor,,,klasyka,classics,CD
1345,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Wilhelm Furtwangler,Wiener Philharmoniker,,Symphonie No.9 d-moll op.125,1953,1991,DG,,,klasyka,classics,CD
1346,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Wilhelm Furtwangler,Wiener Philharmoniker,,Fidelio,1953,1992,EMI,1,,klasyka,classics,CD
1347,Ludwig van Beethoven,Beethoven Ludwig van,Ludwig van Beethoven,Wilhelm Furtwangler,Wiener Philharmoniker,,Fidelio,1953,1992,EMI,2,,klasyka,classics,CD
1348,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,Beatrice di Tenda,1962.66,,Decca,1,,klasyka,classics,CD
1349,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,Beatrice di Tenda,1962.66,,Decca,2,,klasyka,classics,CD
1350,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,Norma,1962.66,,Decca,3,,klasyka,classics,CD
1351,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,Norma,1962.66,,Decca,4,,klasyka,classics,CD
1352,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,Norma,1962.66,,Decca,5,,klasyka,classics,CD
1353,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,I puritani,1962.66,,Decca,6,,klasyka,classics,CD
1354,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,I puritani,1962.66,,Decca,7,,klasyka,classics,CD
1355,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,I puritani,1962.66,,Decca,8,,klasyka,classics,CD
1356,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,La sonnambula,1962.66,,Decca,9,,klasyka,classics,CD
1357,Vincenzo Bellini,Bellini Vincenzo,Vincenzo Bellini,Richard Bonynge,London Symphony Orchestra,Joan Sutherland,La sonnambula,1962.66,,Decca,10,,klasyka,classics,CD
1358,Hector Berlioz,Berlioz Hector,Hector Berlioz,"Rudolf Kempe, Louis Fremaux",,,"Symphonie Fantastique op.14; Saint-Saens – Organ Symphony op.78, The Carnival Of The Animals",1959/60/71/78,1995,EMI,1,,klasyka,classics,CD
1359,Hector Berlioz,Berlioz Hector,Hector Berlioz,"Rudolf Kempe, Louis Fremaux",,,"Symphonie Fantastique op.14; Saint-Saens – Organ Symphony op.78, The Carnival Of The Animals",1959/60/71/78,1995,EMI,2,,klasyka,classics,CD
1360,Georges Bizet,Bizet Georges,Georges Bizet,Sir Thomas Beecham,,,Carmen,1960,2000,EMI,1,,klasyka,classics,CD
1361,Georges Bizet,Bizet Georges,Georges Bizet,Sir Thomas Beecham,,,Carmen,1960,2000,EMI,2,,klasyka,classics,CD
1362,Georges Bizet,Bizet Georges,Georges Bizet,Sir Thomas Beecham,,,Carmen,1960,2000,EMI,3,,klasyka,classics,CD
1363,Johannes Brahms,Brahms Johannes,Johannes Brahms,,,Yo-Yo Ma / Emanuel Ax,"Sonatas for Cello and Piano No. 1 & 2, Op. 38, 99",1985,1992,BMG,,,klasyka,classics,CD
1364,Johannes Brahms,Brahms Johannes,Johannes Brahms,,,Misha Maisky / Pavel Gililov,"Cello sonatas op.38, 99 & songs without words",,1999,DG,,,klasyka,classics,CD
1365,Johannes Brahms,Brahms Johannes,Johannes Brahms,Herbert von Karajan,,"Elisabeth Schwarzkopf, Hans Hotter",Ein Deutsches Requiem op. 45,1947,1987,EMI,,,klasyka,classics,CD
1366,Johannes Brahms,Brahms Johannes,Johannes Brahms,Carlo Maria Gulini,Wiener Philharmoniker,"Barbara Bonney, Andreas Schmidt",Ein Deutsches Requiem op. 45,,1988,DG-Polydor,,,klasyka,classics,CD
1367,Johannes Brahms,Brahms Johannes,Johannes Brahms,Claudio Abbado,Wiener Philharmoniker,,21 Ungarische Tanze,,1982,DG-Polydor,,,klasyka,classics,CD
1368,Johannes Brahms,Brahms Johannes,Johannes Brahms,,,Egon Petri,Paganini & Handel Variations,"1937,40",2001,NAXOS,,,klasyka,classics,CD
1369,Johannes Brahms,Brahms Johannes,Johannes Brahms,Wilhelm Furtwangler,Orchestre du Festival de Lucerne / Wiener Philharmoniker,"Yehudi Menuhin, Willi Boskovsky / Emanuel Brabec",Violin Concerto op.77 / Double Concerto op.102,1949.52,1990,EMI,,,klasyka,classics,CD
1370,Johannes Brahms,Brahms Johannes,Johannes Brahms,Arturo Toscanini,NBC Symphony Orchestra,Vladimir Horowitz,Serenade No. 1 op.11 / Piano Concerto No. 2 op.83 / Symphony No. 1 op.68,1940,1998,NAXOS,1,,klasyka,classics,CD
1371,Johannes Brahms,Brahms Johannes,Johannes Brahms,Arturo Toscanini,NBC Symphony Orchestra,Vladimir Horowitz,Serenade No. 1 op.11 / Piano Concerto No. 2 op.83 / Symphony No. 1 op.68,1940,1998,NAXOS,2,,klasyka,classics,CD
1372,Johannes Brahms,Brahms Johannes,Johannes Brahms,,,"Jessye Norman, Daniel Barenboim",Lieder,,1983,DG-Polydor,1,,klasyka,classics,CD
1373,Johannes Brahms,Brahms Johannes,Johannes Brahms,,,"Jessye Norman, Daniel Barenboim",Lieder,,1983,DG-Polydor,2,,klasyka,classics,CD
1374,Johannes Brahms,Brahms Johannes,Johannes Brahms,Herbert von Karajan,Berliner Philharmoniker,,"4 Symphonien op.68, 73, 90, 98",,1987,DG-Polygram,1,,klasyka,classics,CD
1375,Johannes Brahms,Brahms Johannes,Johannes Brahms,Herbert von Karajan,Berliner Philharmoniker,,"4 Symphonien op.68, 73, 90, 98",,1987,DG-Polygram,2,,klasyka,classics,CD
1376,Johannes Brahms,Brahms Johannes,Johannes Brahms,Herbert von Karajan,Berliner Philharmoniker,,"4 Symphonien op.68, 73, 90, 98",,1987,DG-Polygram,3,,klasyka,classics,CD
1377,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,1,,klasyka,classics,CD
1378,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,2,,klasyka,classics,CD
1379,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,3,,klasyka,classics,CD
1380,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,4,,klasyka,classics,CD
1381,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,5,,klasyka,classics,CD
1382,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,6,,klasyka,classics,CD
1383,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,7,,klasyka,classics,CD
1384,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,8,,klasyka,classics,CD
1385,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,9,,klasyka,classics,CD
1386,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,10,,klasyka,classics,CD
1387,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,11,,klasyka,classics,CD
1388,Johannes Brahms,Brahms Johannes,Johannes Brahms,Antoni Wit,NOSPR,Idil Biret,The Complete Solo Piano Music and the Piano Concertos,,2001,NAXOS,12,,klasyka,classics,CD
1389,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Janusz Olejniczak,,1991,1997,Selene,,,klasyka,classics,CD
1390,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,Carlo Maria Gulini,Los Angeles Philharmonic Orchestra,Krystian Zimerman / Martha Argerich,"Piano Concerto No.2 in F Minor, op.21 / Piano Sonata 2 in B Flat Minor, op.35, Polonaise 6 in A Flat, op.53 (heroic)",,1967-88,DG-Polydor; Time-Life,1,,klasyka,classics,CD
1391,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Vladimir Ashkenazy,różne,,1975-88,Decca; Time-Life,2,,klasyka,classics,CD
1392,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Artur Rubinstein,walce,,,Selles,,,klasyka,classics,CD
1393,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Daniel Barenboim,The Complete Nocturnes,,1982,DG-Polydor,1,,klasyka,classics,CD
1394,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Daniel Barenboim,The Complete Nocturnes,,1982,DG-Polydor,2,,klasyka,classics,CD
1395,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Maria Joao Pires,Nocturnes,,1996,,1,KOPIA,klasyka,classics,CD
1396,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Maria Joao Pires,Nocturnes,,1996,,2,KOPIA,klasyka,classics,CD
1397,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,Krystian Zimerman,Polish Festival Orchestra,Krystian Zimerman,Piano Concerto No. 1 e-moll op.11,,1999,Deutsche Grammophon,1,,klasyka,classics,CD
1398,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,Krystian Zimerman,Polish Festival Orchestra,Krystian Zimerman,Piano Concerto No. 2 f-moll op.21,,1999,Deutsche Grammophon,2,,klasyka,classics,CD
1399,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,Witold Rowicki / Grzegorz Nowak,OSFN / Sinfonia Varsovia,Artur Rubinstein / Martha Argerich,Piano Concerto No. 2 f-moll op.21/ Piano Concerto No. 1 e-moll op.11,1979,2000,CD Accord,,,klasyka,classics,CD
1400,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,Emmanuel Krivine,Chamber Orchestra of Europe,Maria Joao Pires,Piano Concerto No. 1 e-moll op.11,,1998,Deutsche Grammophon,,KOPIA,klasyka,classics,CD
1401,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,Charles Dutoit,Orchestre Symphonique de Montreal,Martha Argerich,Concertos pour piano 1 & 2,1998,2007,EMI,,,klasyka,classics,CD
1402,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Georges Chiffra,różne,1959.79,2003,EMI,1,,klasyka,classics,CD
1403,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Georges Chiffra,różne,1959.79,2003,EMI,2,,klasyka,classics,CD
1404,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Georges Chiffra,różne,1959.79,2003,EMI,3,,klasyka,classics,CD
1405,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Georges Chiffra,różne,1959.79,2003,EMI,4,,klasyka,classics,CD
1406,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Georges Chiffra,różne (m.in. koncert nr 1),1959.79,2003,EMI,5,,klasyka,classics,CD
1407,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Rafał Blechacz,Nagrania z XV Miedzynarodowego Konkursu Pianistycznego im. Fryderyka Chopina,2005,2006,Miedzynarodowa Fundacja im. Fryderyka Chopina,,,klasyka,classics,CD
1408,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,Rafał Blechacz,Preludia,,2007,DG,,,klasyka,classics,CD
1409,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,1,,klasyka,classics,CD
1410,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,2,,klasyka,classics,CD
1411,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,3,,klasyka,classics,CD
1412,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,4,,klasyka,classics,CD
1413,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,5,,klasyka,classics,CD
1414,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,6,,klasyka,classics,CD
1415,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,7,,klasyka,classics,CD
1416,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,8,,klasyka,classics,CD
1417,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,9,,klasyka,classics,CD
1418,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,10,,klasyka,classics,CD
1419,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,11,,klasyka,classics,CD
1420,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,12,,klasyka,classics,CD
1421,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,13,,klasyka,classics,CD
1422,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,14,,klasyka,classics,CD
1423,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,15,,klasyka,classics,CD
1424,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,16,,klasyka,classics,CD
1425,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,17,,klasyka,classics,CD
1426,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,18,,klasyka,classics,CD
1427,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,19,,klasyka,classics,CD
1428,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,20,,klasyka,classics,CD
1429,Fryderyk Chopin,Chopin Fryderyk,Fryderyk Chopin,,,,The Real Chopin: Dzieła wszystkie na instrumentach historycznych,,2010,Narodowy Instytut Fryderyka Chopina,21,,klasyka,classics,CD
1430,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,Herbert von Karajan,Berliner Philharmoniker,,"Ouvefrture “1812”op.49, Der Nussknacker op.71a, Slawischer Marsch op.31, Capriccio italien op.45",,1967,DG-Polydor,,,klasyka,classics,CD
1431,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,,,Evgeni Svetlanov,"Suite No. 2 op.53, Hamlet op.67, Overture in F Major","1985,70,87",1990,Melodiya,,,klasyka,classics,CD
1432,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,Lorin Maazel,,Emil Gilels,"Piano Concertos 1 & 2 op.23,44",1971.73,1995,EMI,1,,klasyka,classics,CD
1433,Piotr Czajkowski,Czajkowski Piotr,"Piotr Czajkowski/ Prokofiev, Bartok",Lorin Maazel,,Emil Gilels / Sviatoslav Richter,Piano Concerto 3 op.75 / Piano Concerto 5 op.55 / Piano Concerto 2 Sz83,1971.73,1995,EMI,2,,klasyka,classics,CD
1434,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,Herbert von Karajan,Wiener Philharmoniker,Anne-Sophie Mutter,Violinkonzert,,1988,Deutsche Grammophon,,KOPIA,klasyka,classics,CD
1435,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,Evgeni Svetlanov,The USSR Symphony Orchestra,Evgeni Svetlanov,"Symphony no. 2 op.17, Serenade for String Orchestra, op. 48","1967,70",1991,Melodiya,,,klasyka,classics,CD
1436,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,Herbert von Karajan,Berliner Philharmoniker,,"Symphony no. 4 op.36, Symphony no. 5 op.64 (cz.1)","1976,77",,DG-Polydor,1,,klasyka,classics,CD
1437,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,Herbert von Karajan,Berliner Philharmoniker,,"Symphony no. 5 op.64 (cz.2), Symphony no. 6 op.74","1976,77",,DG-Polydor,2,,klasyka,classics,CD
1438,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,Evgeni Svetlanov,The USSR Symphony Orchestra,Evgeni Svetlanov,"Symphony no. 5 op.64, The Tempest op.18","1967,70",1991,Melodiya,,,klasyka,classics,CD
1439,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,Mark Emler,Orchestra of the Royal Opera House,,Swan Lake,,2009,SONY,1,,klasyka,classics,CD
1440,Piotr Czajkowski,Czajkowski Piotr,Piotr Czajkowski,Mark Emler,Orchestra of the Royal Opera House,,Swan Lake,,2009,SONY,2,,klasyka,classics,CD
1441,Piotr Czajkowski,Czajkowski Piotr,Czajkowski / Rachaminoff,,,"Lang Lang, Vadim Repin, Misha Maisky",Piano trios (in A minor op.50 / elegiaque no.1 in G minor),,2009,DG,,,klasyka,classics,CD
1442,Timofiej Dokszicer - trąbka,Dokszicer,various,,,Timofiej Dokszicer - trąbka,"Image of Laura (Chopin, Strauss, Schubert, Mendelssohn-Bartholdy, Scriabin, Czajkowski, Rachmaninow, Debussy, Liszt)",1987,1990,Melodiya,,,klasyka,classics,CD
1443,Antonin Dvorak,Dvorak Antonin,Antonin Dvorak,Eugene Ormandy / Rudolf Kempe,London Symphony Orchestra / Muncher Philharmoniker,,"Symphony No.9 “From The New World” in E-minor op.95; Serenade For Strings in E major, Op.22",1969.75,1990,SONY,,,klasyka,classics,CD
1444,Antonin Dvorak,Dvorak Antonin,Antonin Dvorak,Zdenek Kosler,Slovenska filharmonie,,Symfonia 7 d-moll op.70,,1979,OPUS,,,klasyka,classics,CD
1445,Antonin Dvorak,Dvorak Antonin,Antonin Dvorak,Zdenek Kosler,Slovak Philharmonic Orchestra  / Slovak Chamber Orchestra,Bohdan Warchal,"Symfonia 9; „The Noon Witch” symphonic poem, op.118; symfonia 8 G-Dur / Serenade For Strings, Op.22",,1995,OPUS,1,,klasyka,classics,CD
