lp,kto,ord,kompozytor,dyrygent,orkiestra,soliści,co,data nagrania,data wydania,wytwórnia,część,uwagi,typ,genre,medium
1634,Richard Strauss,Strauss Richard,Richard Strauss,Jeffrey Tate,"Orchestra & Chorus of the Royal Opera House, Covent Garden",Kiri Te Kanawa,Arabella,,1987,Decca,3,rolf,klasyka,classics,CD
1635,Igor Strawiński,Strawiński,Igor Strawiński,Vladimir Ashkenazy,Deutsches Symphonie-Orchester Berlin,,Le Sacre du printemps; Les Noces,,1995,Decca,,,klasyka,classics,CD
1636,Igor Strawiński,Strawiński,Igor Strawiński,Igor Strawiński,Columbia Symphony Orchestra,,Le Sacre du printemps; Pulcinella,,,,,KOPIA,klasyka,classics,CD
1637,Igor Strawiński,Strawiński,Igor Strawiński,Pierre Boulez,The Cleveland Orchestra / Chicago Symphony Orchestra,,Le Sacre du printemps / the Firebird,,1993,DG,,rolf,klasyka,classics,CD
1638,Igor Strawiński,Strawiński,Igor Strawiński,,Orpheus Chamber Orchestra,,Shadow Dances,,2000,DG,,,klasyka,classics,CD
1639,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,National Symphony Orchestra,,Symphonies Nos. 1 f-moll OP.10 & 9 Es-dur op.70,1994,1997,Teldec,1,,klasyka,classics,CD
1640,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,"London Symphony Orchestra, London Voices",Terry Edwards,Symphonies Nos. 2 H-dur op.14 & 3 Es-dur op.20,1994,1997,Teldec,2,,klasyka,classics,CD
1641,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,National Symphony Orchestra,,Symphony No. 4 c-moll op.43,1992,1997,Teldec,3,,klasyka,classics,CD
1642,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,National Symphony Orchestra,,Symphony No. 5 d-moll op.47,1995,1997,Teldec,4,,klasyka,classics,CD
1643,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,"National Symphony Orchestra, London Symphony Orchestra",,Symphonies Nos. 6 h-moll op.54 & 12 d-moll op.112,1997,1997,Teldec,5,,klasyka,classics,CD
1644,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,National Symphony Orchestra,,Symphony No. 7 C-dur op.60 “Leningrad”,1991,1997,Teldec,6,,klasyka,classics,CD
1645,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,National Symphony Orchestra,,Symphony No. 8 c-moll op.65,1992,1997,Teldec,7,,klasyka,classics,CD
1646,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,National Symphony Orchestra,,"Symphony No. 10 e-moll, op.93",1991,1997,Teldec,8,,klasyka,classics,CD
1647,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,National Symphony Orchestra,,Symphony No. 11g-moll op. 103 ”The Year 1905”,1993,1997,Teldec,9,,klasyka,classics,CD
1648,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,"National Symphony Orchestra, Men of the Choral Arts Society of Washington","Nicola Ghiuselev, Norman Scribner",Symphony No. 13 b-moll op.113 “Babi Yar”,1989,1997,Teldec,10,,klasyka,classics,CD
1649,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,Members of the Academic Symphony Orchestra Moscow,"Galina Vishnevskaya, Mark Reshetin",Symphony No. 14 op. 135,1973,1997,Teldec,11,,klasyka,classics,CD
1650,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,National Symphony Orchestra,,Symphony No. 15 A-dur op.141,1991,1997,Teldec,12,,klasyka,classics,CD
1651,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Alexander Rahbari,"BRT Philharmonic Orchestra, Brussels",,"Symphonies No.5 Op.47, No.9 Op.70",1990,1991,NAXOS,,rolf,klasyka,classics,CD
1652,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Herbert von Karajan,Berliner Philharmoniker,,"Symphony No. 10 e-moll, op.93",1982,,DG,,,klasyka,classics,CD
1653,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,,,Sviatoslav Richter / Borodin Quartet,"String Quartets Nos.1, 2 & 4",1979.83,1997,BMG (Melodiya),1,,klasyka,classics,CD
1654,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,,,Sviatoslav Richter / Borodin Quartet / Prokofiev Quartet,"String Quartet No.3, Piano Quintet, Two Pieces For String Octet",1967.84,1997,BMG (Melodiya),2,,klasyka,classics,CD
1655,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,,,Sviatoslav Richter / Borodin Quartet,"String Quartets Nos.5, 6 & 7",1982.84,1997,BMG (Melodiya),3,,klasyka,classics,CD
1656,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,,,Sviatoslav Richter / Borodin Quartet,"String Quartets Nos.8, 9 & 10",1982.84,1997,BMG (Melodiya),4,,klasyka,classics,CD
1657,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,,,Sviatoslav Richter / Borodin Quartet,"String Quartets Nos.11, 12 & 13",1982,1997,BMG (Melodiya),5,,klasyka,classics,CD
1658,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,,,Sviatoslav Richter / Borodin Quartet,String Quartets Nos.14 & 15,1979.82,1997,BMG (Melodiya),6,,klasyka,classics,CD
